項目別, ,銷售量,,,,,銷售值 (千元),,,,, 
 ,6月,"29,191","38,191","13,041","8,574","52,192","668,431","631,639","241,035","335,301","902,788", 
 ,7月,"35,977","39,549","16,644","8,536","76,586","799,563","676,663","315,473","329,323","1,239,218", 
 ,8月,"38,687","60,236","23,634","8,542","79,208","876,142","990,989","398,120","324,871","1,286,751", 
 ,9月,"29,927","38,838","14,934","10,912","47,811","691,712","631,223","270,335","426,366","821,082", 
 ,10月,"22,976","25,211","9,171","7,878","39,929","510,660","446,548","168,291","305,173","684,062", 
 ,11月,"22,852","23,473","7,288","9,376","36,305","505,830","428,114","136,057","363,351","615,213", 
 ,12月,"22,412","23,962","4,581","9,228","39,796","479,855","413,821","94,609","360,402","688,356", 
2005年,1月,"24,768","28,677","5,449","13,783","63,833","518,539","453,273","129,308","525,311","996,084", 
 ,2月,"20,990","26,727","4,970","8,618","50,616","446,190","446,449","119,895","320,607","721,346", 
 ,3月,"26,771","24,347","5,686","9,888","66,167","569,871","435,759","151,601","366,197","993,471", 
 ,4月,"27,260","27,580","6,739","10,978","73,865","557,338","498,197","171,919","406,531","1,161,658", 
 ,5月,"33,400","33,577","7,868","10,836","82,464","697,027","601,231","202,511","392,872","1,302,702", 
 ,6月,"34,195","37,118","8,391","10,573","85,061","699,971","668,928","251,650","381,194","1,344,732", 
 ,7月,"39,663","47,100","12,569","12,034","57,660","874,541","817,898","362,867","446,592","832,242", 
 ,8月,"37,821","58,400","14,652","11,999","99,285","851,195","1,031,965","396,259","456,740","1,546,219", 
 ,9月,"33,478","37,755","7,231","11,932","85,415","771,725","678,339","228,642","453,933","1,364,109", 
 ,10月,"27,785","24,608","5,651","11,369","79,460","605,314","454,168","202,415","425,437","1,243,184", 
 ,11月,"21,871","23,876","3,992","9,302","40,208","482,136","433,483","134,894","362,327","638,105", 
 ,12月,"20,080","23,172","2,626","12,788","62,914","431,643","402,719","76,497","489,659","968,082", 
2006年,1月,"23,382","33,918","3,846","13,993","69,983","502,302","566,958","116,691","524,341","1,097,480", 
 ,2月,"17,964","20,412","4,100","9,241","57,844","391,694","374,012","115,582","338,344","848,273", 
 ,3月,"23,860","22,450","6,302","12,525","75,243","515,639","410,499","164,941","451,223","1,170,427", 
 ,4月,"26,640","26,280","6,935","12,182","75,950","581,812","492,769","184,001","432,412","1,200,097", 
 ,5月,"29,034","29,893","8,020","13,560","89,158","619,388","560,052","209,166","485,443","1,359,068", 
 ,6月,"30,152","35,069","8,589","12,555","86,211","634,364","638,128","272,271","439,663","1,375,442", 
 ,7月,"35,892","51,812","14,753","12,979","89,735","764,515","896,286","441,149","461,927","1,452,576", 
 ,8月,"33,094","44,289","13,689","13,607","82,310","724,207","812,748","422,331","478,908","1,381,321", 
 ,9月,"27,789","27,875","6,199","13,610","72,336","585,758","510,399","216,421","478,869","1,204,230", 
 ,10月,"26,022","26,191","4,927","12,784","66,674","582,007","449,003","183,786","453,352","1,120,702", 
 ,11月,"22,153","21,103","4,184","12,989","55,113","490,773","371,234","147,608","448,425","956,723", 
 ,12月,"20,500","20,142","3,352","13,464","47,240","450,532","352,378","107,224","488,199","810,509", 
2007年,1月,"19,328","19,832","4,536","14,224","51,219","432,140","348,796","143,675","519,632","860,805", 
 ,2月,"20,423","27,243","5,073","14,338","62,078","456,912","462,730","147,567","471,032","1,014,680", 
 ,3月,"23,121","20,875","5,772","14,068","69,081","493,566","394,935","173,611","429,376","1,089,430", 
 ,4月,"24,827","22,251","6,633","14,985","72,508","529,391","411,308","156,471","466,698","1,181,558", 
 ,5月,"29,124","27,951","8,431","16,673","91,820","644,604","530,158","198,735","518,478","1,463,209", 
 ,6月,"29,409","31,421","8,011","16,067","89,762","605,327","593,784","177,260","467,406","1,417,427", 
 ,7月,"33,554","39,281","14,868","14,463","98,257","741,532","731,969","344,194","536,339","1,670,413", 
 ,8月,"32,680","47,197","14,377","14,653","92,944","735,488","823,000","344,214","544,274","1,579,275", 
 ,9月,"24,111","27,334","5,767","13,002","74,130","566,685","478,537","148,345","481,318","1,281,629", 
 ,10月,"23,970","18,509","4,698","13,084","81,394","561,528","332,169","111,509","477,780","1,362,627", 
 ,11月,"21,267","14,336","3,300","12,927","70,109","474,128","250,185","78,109","487,786","1,137,813", 
 ,12月,"19,141","16,489","2,614","10,779","69,852","430,166","290,286","61,022","411,145","1,102,909", 
2008年,1月,"23,664","24,220","4,051","15,779","75,923","513,678","395,138","100,786","618,818","1,296,180", 
 ,2月,"18,121","18,920","3,325","11,101","66,176","405,872","313,983","87,056","425,027","999,486", 
 ,3月,"20,030","16,977","5,132","12,810","79,406","437,303","316,730","128,081","482,975","1,270,129", 
 ,4月,"23,454","20,922","8,631","13,476","86,097","522,467","411,712","203,207","511,654","1,367,629", 
 ,5月,"29,114","25,197","9,821","14,647","91,075","658,461","491,094","216,376","563,578","1,443,511", 
 ,6月,"34,640","24,834","9,098","13,921","97,671","763,446","487,927","211,859","528,621","1,526,828", 
 ,7月,"38,714","33,989","14,514","15,519","103,887","852,691","618,728","314,952","592,438","1,643,191", 
 ,8月,"40,037","39,624","13,584","15,149","107,511","901,267","731,651","333,412","581,755","1,730,829", 
 ,9月,"34,297","23,361","6,245","11,771","92,657","772,349","438,089","160,611","443,206","1,486,774", 
 ,10月,"37,474","19,923","5,655","12,126","86,906","829,270","383,343","135,969","452,271","1,406,179", 
 ,11月,"32,539","15,426","5,894","14,270","73,725","720,405","295,392","128,305","535,020","1,168,242", 
 ,12月,"29,099","18,676","4,331","14,443","70,310","628,647","346,755","93,021","557,295","1,089,692", 
2009年,1月,"31,324","26,642","5,468","14,203","71,305","691,020","466,437","128,373","557,708","1,106,996", 
 ,2月,"25,774","18,092","4,679","9,796","62,534","571,316","360,901","117,626","376,151","991,938", 
 ,3月,"28,513","18,707","5,720","9,994","75,494","618,291","378,575","142,930","378,959","1,192,678", 
 ,4月,"30,272","19,655","6,681","11,126","73,303","659,788","400,721","162,686","422,863","1,185,398", 
 ,5月,"34,179","25,425","7,819","12,356","86,327","766,130","530,695","193,729","461,475","1,411,288", 
 ,6月,"31,675","27,864","7,324","12,620","92,370","707,056","583,742","201,465","480,105","1,496,135", 
 ,7月,"37,393","32,171","10,122","13,435","101,613","855,803","642,017","270,396","504,793","1,709,950", 
 ,8月,"48,324","46,083","12,772","14,572","113,610","1,096,399","880,232","330,576","551,328","1,868,237", 
 ,9月,"38,621","33,616","8,510","13,163","94,477","892,954","657,190","224,331","496,826","1,554,032", 
 ,10月,"27,447","18,739","4,687","13,493","82,549","648,276","370,900","117,361","504,165","1,362,281", 
 ,11月,"27,254","15,730","4,280","12,561","70,998","628,576","309,262","103,164","467,392","1,159,232", 
 ,12月,"22,931","17,058","2,925","13,129","59,770","513,239","337,330","66,940","511,782","971,091", 
2010年,1月,"24,577","21,223","4,776","12,777","71,368","565,562","396,034","119,692","505,022","1,190,864", 
 ,2月,"23,544","24,546","4,634","11,282","63,386","540,737","464,689","120,240","442,352","1,028,493", 
 ,3月,"27,557","19,277","5,854","12,014","78,580","650,806","395,896","144,950","476,056","1,269,543", 
 ,4月,"26,465","18,944","7,164","13,050","83,121","598,936","391,696","180,414","504,415","1,352,965", 
 ,5月,"29,020","22,179","9,273","13,477","96,315","655,219","459,829","230,274","513,984","1,567,493", 
 ,6月,"28,423","25,163","8,389","14,603","100,730","648,403","511,759","223,157","568,618","1,597,543", 
 ,7月,"37,862","38,643","12,497","14,667","120,473","848,390","750,649","332,539","572,595","1,959,765", 
 ,8月,"38,540","44,010","14,022","15,951","124,243","856,501","841,729","386,788","618,920","2,002,484", 
 ,9月,"29,784","27,551","8,053","13,000","105,965","682,860","527,662","216,176","506,608","1,671,264", 
 ,10月,"23,972","17,045","5,163","14,500","91,697","553,962","344,061","130,072","580,252","1,472,026", 
 ,11月,"21,258","14,757","4,060","14,112","83,776","484,416","291,429","95,861","553,180","1,316,072", 
 ,12月,"20,306","17,205","4,188","15,520","78,945","459,358","339,410","93,114","623,949","1,254,419", 
2011年,1月,"23,836","26,962","5,424","15,428","88,883","536,190","503,143","142,835","601,086","1,410,840", 
 ,2月,"16,960","18,656","4,296","11,263","64,798","389,815","355,398","112,302","422,787","1,064,884", 
 ,3月,"22,530","20,607","6,516","14,057","85,207","510,639","413,771","165,433","535,087","1,359,237", 
 ,4月,"25,050","18,745","8,050","14,546","96,146","586,966","402,983","218,939","554,771","1,525,661", 
 ,5月,"28,284","22,477","9,530","14,334","101,455","674,779","477,846","263,164","545,532","1,679,749", 
 ,6月,"18,651","30,374","6,996","13,642","96,411","444,909","634,447","217,915","527,636","1,552,725", 
 ,7月,"26,040","40,044","9,582","15,389","123,929","605,427","795,608","279,034","586,674","2,009,046", 
 ,8月,"25,191","43,209","8,918","15,928","119,017","577,645","875,928","250,654","601,063","1,919,622", 
 ,9月,"24,130","28,303","6,327","13,417","111,388","576,814","568,486","180,329","538,959","1,766,885", 
 ,10月,"20,014","17,568","3,944","14,413","96,483","476,339","360,323","99,924","556,253","1,538,227", 
 ,11月,"17,772","16,507","3,521","15,152","86,930","427,167","331,730","86,797","595,113","1,377,566", 
 ,12月,"17,376","20,467","3,797","16,239","79,270","383,098","404,652","81,822","647,208","1,212,621", 
2012年,1月,"16,996","28,699","3,522","13,931","84,569","384,502","556,099","102,910","561,262","1,346,378", 
 ,2月,"18,108","16,357","4,056","13,425","70,612","409,982","333,975","100,910","519,060","1,088,767", 
 ,3月,"22,738","18,790","5,955","13,461","87,530","494,925","391,626","156,627","524,539","1,402,547", 
 ,4月,"25,667","21,279","6,741","12,977","94,062","559,616","431,584","183,510","506,568","1,503,103", 
 ,5月,"28,797","24,523","9,489","14,520","103,404","648,989","477,188","258,984","550,236","1,741,083", 
 ,6月,"29,178","27,506","9,148","14,434","111,267","663,799","553,452","268,282","546,946","1,850,643", 
 ,7月,"31,667","40,248","12,055","14,860","128,671","714,227","796,489","332,182","571,921","2,190,541", 
 ,8月,"34,732","41,476","11,978","15,890","125,527","778,057","816,612","339,346","608,715","2,111,403", 
 ,9月,"26,619","26,736","7,372","12,546","106,492","607,887","524,011","193,110","496,836","1,765,212", 
 ,10月,"20,973","16,110","5,617","13,754","99,111","481,054","319,720","140,395","534,058","1,652,724", 
 ,11月,"19,600","14,195","4,379","13,874","79,484","449,701","287,301","111,399","541,461","1,348,350", 
 ,12月,"17,623","16,123","2,942","14,266","76,249","404,780","322,489","72,774","568,587","1,271,649", 
2013年,1月,"19,377","23,858","5,737","13,917","73,916","429,564","463,524","146,614","533,018","1,215,805", 
 ,2月,"18,798","21,746","5,004","10,962","67,288","428,210","416,456","128,023","439,423","1,113,477", 
 ,3月,"24,837","15,776","5,793","12,116","81,962","535,453","328,479","158,970","485,741","1,357,850", 
 ,4月,"24,844","16,236","5,623","13,351","86,950","581,727","345,827","172,519","530,128","1,453,186", 
 ,5月,"24,471","19,967","8,457","14,178","98,101","594,009","400,948","225,241","553,544","1,660,845", 
 ,6月,"29,972","29,850","10,866","13,113","106,380","663,503","601,292","304,025","499,471","1,774,501", 
 ,7月,"31,689","37,938","15,161","14,278","117,035","695,530","754,560","431,135","552,828","1,986,515", 
 ,8月,"33,092","41,292","12,925","14,320","109,269","706,096","817,717","363,611","557,789","1,877,989", 
 ,9月,"26,511","22,790","8,178","12,602","91,708","566,757","428,281","209,485","485,138","1,520,255", 
 ,10月,"22,065","15,708","6,551","13,599","78,351","469,264","314,856","162,222","539,874","1,310,373", 
 ,11月,"21,009","13,273","4,984","12,667","65,375","437,172","270,194","125,759","495,233","1,122,603", 
 ,12月,"17,608","16,665","4,011","13,150","61,508","387,798","325,401","105,333","534,829","1,007,418", 
2014年,1月,"24,409","25,207","5,370","14,906","90,103","505,373","477,516","132,270","579,680","1,468,835", 
 ,2月,"18,453","15,875","3,230","11,538","71,432","410,632","307,457","80,525","430,436","1,170,804", 
 ,3月,"24,003","14,636","5,094","13,024","90,351","524,210","299,871","125,793","510,181","1,479,157", 
 ,4月,"23,904","17,402","6,141","13,641","95,157","536,186","352,122","183,884","537,104","1,625,041", 
 ,5月,"26,107","19,782","8,565","14,012","109,156","583,502","401,426","249,925","548,547","1,806,391", 
 ,6月,"28,403","27,891","9,917","13,743","116,031","625,678","568,303","292,441","542,495","1,905,277", 
 ,7月,"34,209","41,607","14,322","15,039","149,483","748,709","824,738","420,983","581,098","2,421,474", 
 ,8月,"28,494","36,182","11,725","15,068","121,357","651,921","725,740","308,841","598,447","1,978,841", 
 ,9月,"25,399","24,960","9,002","12,942","124,941","571,754","480,080","262,037","532,397","2,003,951", 
 ,10月,"20,701","16,485","6,215","13,681","102,827","465,456","331,978","177,436","573,545","1,689,304", 
 ,11月,"18,063","13,732","4,091","12,850","84,890","400,330","273,845","111,181","540,268","1,375,014", 
 ,12月,"17,071","17,357","2,885","12,883","77,774","377,805","330,360","87,384","608,276","1,281,345", 
2015年,1月,"22,096","22,656","5,405","15,517","79,056","470,512","439,029","152,459","598,904","1,281,721", 
 ,2月,"18,602","22,671","4,357","12,141","76,950","418,935","412,436","133,064","483,656","1,316,919", 
 ,3月,"20,537","16,127","5,686","11,206","92,226","458,206","317,950","161,968","421,328","1,548,240", 
 ,4月,"23,547","18,899","7,337","12,041","93,597","527,846","373,230","206,319","447,686","1,602,455", 
 ,5月,"24,658","22,338","9,353","12,273","103,257","551,620","448,197","266,809","449,871","1,759,303", 
 ,6月,"26,517","33,041","12,649","13,217","114,181","584,410","616,317","350,827","475,673","1,960,170", 
 ,7月,"29,236","37,853","14,493","15,369","119,788","629,611","730,943","414,345","551,976","2,144,826", 
 ,8月,"30,777","41,525","14,225","15,081","112,417","660,251","796,125","383,474","549,754","2,061,183", 
 ,9月,"22,322","24,251","7,338","11,982","95,412","498,325","466,278","213,914","429,094","1,615,147", 
 ,10月,"21,596","15,681","5,720","12,844","84,953","485,606","306,923","159,911","446,554","1,541,549", 
 ,11月,"19,842","15,673","5,158","13,241","87,887","437,372","300,903","143,561","471,014","1,467,059", 
 ,12月,"18,957","16,666","3,916","12,721","85,143","421,513","320,008","96,981","458,726","1,449,569", 
2016年,1月,"22,901","23,509","5,049","14,575","82,861","488,146","439,115","149,340","538,677","1,360,423", 
 ,2月,"19,730","17,912","4,789","10,009","68,262","428,141","335,430","126,323","375,554","1,115,775", 
 ,3月,"21,966","15,018","5,926","13,200","89,559","485,448","292,787","163,717","472,315","1,473,887", 
 ,4月,"24,534","19,015","8,282","12,464","97,719","533,620","369,990","213,764","439,934","1,651,730", 
 ,5月,"26,317","23,856","9,789","12,855","112,348","575,183","431,265","262,638","459,783","1,850,833", 
 ,6月,"26,781","34,074","13,509","13,489","124,731","582,451","603,511","364,088","480,376","2,051,920", 
 ,7月,"30,775","36,173","15,175","15,095","131,479","646,141","691,231","426,755","541,528","2,125,152", 
 ,8月,"31,467","40,356","14,552","14,951","122,183","694,513","776,192","402,827","534,861","2,023,704", 
 ,9月,"25,251","21,235","6,133","11,847","101,712","578,303","389,420","170,109","422,382","1,708,495", 
 ,10月,"23,575","17,395","6,422","14,022","97,240","531,579","335,800","167,213","496,445","1,620,281", 
 ,11月,"22,451","14,770","4,913","13,796","91,649","497,981","288,444","125,741","499,363","1,489,350", 
 ,12月,"21,455","18,445","4,156","13,155","84,842","454,403","349,673","109,858","473,774","1,432,834", 
2017年,1月,"24,244","27,257","5,807","14,811","93,890","529,591","500,358","159,311","532,318","1,569,828", 
 ,2月,"18,613","14,388","3,831","10,824","67,906","400,162","277,140","104,325","391,698","1,206,885", 
 ,3月,"21,992","15,850","5,286","13,529","90,986","481,629","304,767","145,998","487,369","1,521,703", 
 ,4月,"23,193","18,270","6,422","12,605","93,622","509,284","350,978","181,213","453,660","1,627,839", 
 ,5月,"24,768","20,686","8,824","13,739","112,976","553,125","402,612","253,080","485,758","1,898,917", 
 ,6月,"25,479","24,360","11,238","14,168","116,126","572,760","470,665","310,458","489,968","1,918,475", 
 ,7月,"28,628","34,043","13,691","13,355","123,766","640,922","662,150","379,214","475,729","2,042,993", 
 ,8月,"32,526","41,227","14,437","13,883","134,744","754,774","787,500","391,612","495,977","2,237,477", 
 ,9月,"28,181","30,078","9,332","11,903","110,270","647,645","561,607","249,491","431,172","1,858,681", 
 ,10月,"23,227","17,484","5,796","11,489","93,016","526,781","322,883","154,677","432,057","1,587,096", 
 ,11月,"19,829","12,690","3,888","11,993","90,778","460,323","241,473","105,647","447,829","1,554,261", 
 ,12月,"18,347","14,683","2,816","11,899","76,434","428,539","274,041","70,582","435,789","1,348,951", 
2018年,1月,"20,901","20,721","5,253","14,635","83,242","460,039","393,261","142,603","515,611","1,417,251", 
 ,2月,"17,572","20,358","4,450","11,779","70,451","397,388","368,411","100,956","414,945","1,251,436", 
 ,3月,"22,223","16,395","7,635","11,735","94,077","493,972","321,054","172,554","402,258","1,608,200", 
 ,4月,"22,586","18,218","10,720","13,068","94,132","530,607","358,195","222,644","450,801","1,610,700", 
 ,5月,"26,963","23,398","16,141","12,869","117,230","635,721","457,936","365,928","439,642","1,933,545", 
 ,6月,"25,521","28,122","18,924","13,194","115,291","595,981","538,639","380,750","453,914","1,952,233", 
 ,7月,"27,780","34,287","18,896","13,568","124,577","655,446","646,136","393,707","472,813","2,072,876", 
 ,8月,"31,270","39,422","18,193","13,672","125,288","715,028","753,231","432,025","490,931","2,089,332", 
 ,9月,"20,998","23,212","11,667","11,618","103,610","526,809","425,365","213,816","422,444","1,717,844", 
 ,10月,"18,141","16,508","6,901","12,346","96,206","431,001","313,052","151,941","456,773","1,581,266", 
 ,11月,"18,951","14,417","5,984","11,970","90,161","430,148","283,828","133,801","449,786","1,514,284", 
 ,12月,"18,710","15,526","8,814","12,094","83,262","405,919","297,405","136,412","445,082","1,376,924", 
2019年,1月,"23,817","27,584","5,931","13,766","100,415","519,040","507,296","151,544","526,062","1,646,588", 
 ,2月,"18,037","16,679","5,132","9,922","75,320","400,775","312,492","110,985","356,509","1,285,448", 
 ,3月,"21,787","14,822","7,846","12,151","98,898","493,120","285,752","164,952","418,456","1,678,396", 
 ,4月,"24,702","19,192","10,709","12,953","98,877","563,273","360,877","231,590","443,757","1,720,142", 
 ,5月,"27,897","22,464","13,799","14,405","105,898","617,877","433,344","298,153","481,929","1,805,376", 
 ,6月,"26,051","23,537","15,235","13,413","109,518","602,015","449,456","361,042","492,190","1,851,435", 
 ,7月,"31,819","39,823","17,738","13,361","129,206","720,665","729,573","383,980","492,430","2,107,438", 
 ,8月,"29,631","35,411","14,457","13,525","116,802","676,493","662,622","327,641","494,387","1,966,662", 
 ,9月,"22,517","21,217","12,349","11,543","106,841","509,782","388,841","261,054","434,319","1,795,847", 
 ,10月,"23,380","20,868","9,314","13,030","103,941","532,041","394,423","206,794","470,762","1,679,928", 
 ,11月,"20,678","14,826","6,420","12,250","91,610","486,665","284,701","137,767","460,926","1,535,306", 
 ,12月,"19,877","18,181","6,189","14,143","89,766","447,493","357,605","123,292","508,715","1,447,363", 
2020年,1月,"21,531","27,982","7,144","12,515","94,546","495,645","499,047","152,502","479,921","1,570,644", 
 ,2月,"17,636","15,682","6,766","11,873","81,438","405,757","299,111","108,412","439,488","1,382,481", 
 ,3月,"22,952","18,221","7,396","13,332","100,015","496,366","339,188","167,838","505,034","1,719,784", 
 ,4月,"22,749","20,088","8,505","11,913","95,352","503,597","367,079","182,447","442,376","1,627,455", 
 ,5月,"23,551","24,726","13,598","11,258","104,405","548,729","467,629","299,929","427,521","1,844,180", 
 ,6月,"27,175","29,446","17,793","12,852","120,081","621,459","557,453","392,842","484,018","2,041,905", 
 ,7月,"30,822","38,679","21,145","14,200","135,641","692,890","738,038","464,904","521,542","2,291,166", 
 ,8月,"32,465","40,427","21,658","13,935","124,975","704,646","764,649","483,059","533,242","2,092,650", 
 ,9月,"29,004","26,873","12,728","12,838","120,737","649,914","507,965","299,664","472,823","1,994,491", 
 ,10月,"21,725","18,113","9,204","11,259","105,535","511,918","345,064","175,611","419,382","1,769,851", 
 ,11月,"19,651","15,569","6,926","11,979","96,688","459,561","317,499","138,430","449,730","1,585,430", 
 ,12月,"17,310","16,603","6,232","12,550","86,632","409,220","323,012","132,218","470,984","1,488,598", 
2021年,1月,"18,586","21,438","8,117","13,354","90,476","442,632","395,493","156,614","502,318","1,528,399", 
 ,2月,"17,343","22,907","6,550","10,999","85,645","400,789","416,234","136,845","407,475","1,499,881", 
 ,3月,"19,829","17,238","12,522","14,956","106,286","460,626","333,918","206,826","556,634","1,822,213", 
 ,4月,"21,983","21,085","13,462","14,058","105,437","499,683","398,860","271,844","513,675","1,826,466", 
 ,5月,"26,359","25,188","17,495","11,612","116,446","589,038","453,781","358,228","436,203","1,989,517", 
 ,6月,"23,627","28,184","16,141","10,592","102,396","525,948","516,912","317,518","388,106","1,745,325", 
 ,7月,"28,182","37,123","20,028","13,543","120,218","617,113","658,170","425,074","507,681","2,070,150", 
 ,8月,"25,979","35,510","19,677","13,311","111,962","576,922","648,813","389,015","494,728","1,926,685", 
 ,9月,"24,125","22,840","14,447","11,611","110,975","548,721","416,662","294,102","427,404","1,909,854", 
 ,10月,"23,316","21,302","15,578","12,000","105,817","553,591","389,839","274,815","444,700","1,817,018", 
 ,11月,"22,442","17,259","7,617","12,347","101,836","485,734","322,636","174,274","469,778","1,684,483", 
 ,12月,"20,438","19,095","9,250","11,179","89,465","466,057","358,431","162,342","424,182","1,495,275", 
2022年,1月,"22,209","26,982","9,528","14,006","98,691","506,920","488,891","174,064","523,408","1,672,614", 
 ,2月,"14,789","14,668","5,922","10,555","73,722","338,694","269,902","114,009","396,733","1,239,291", 
 ,3月,"20,820","25,532","12,692","13,228","98,061","474,430","481,043","226,037","490,662","1,766,129", 
 ,4月,"21,585","23,176","18,674","12,322","101,060","488,616","441,097","312,023","459,593","1,777,627", 
 ,5月,"20,299","20,084","17,244","11,911","107,359","487,074","387,354","319,754","442,395","1,813,982", 
 ,6月,"22,448","25,630","19,592","13,760","114,313","520,198","498,564","398,212","476,839","1,955,051", 
 ,7月,"29,587","39,462","26,162","12,433","136,074","682,018","732,041","572,015","482,455","2,364,701", 
 ,8月,"27,466","38,640","22,094","15,434","137,721","657,395","729,002","481,098","531,644","2,325,979", 
 ,9月,"23,169","22,273","17,378","12,666","119,693","580,869","421,453","306,910","458,326","2,050,699", 
 ,10月,"21,153","19,655","11,702","11,584","110,520","523,331","379,099","227,182","435,701","1,919,062", 
 ,11月,"20,145","18,654","10,424","12,021","99,990","484,505","355,940","207,300","464,150","1,766,649", 
 ,12月,"20,023","19,246","9,195","12,759","106,199","490,417","374,134","174,087","472,328","1,798,230", 
2023年,1月,"20,522","25,401","7,248","11,083","98,143","505,723","483,432","155,570","426,634","1,714,133", 
 ,2月,"17,200","16,347","9,848","12,193","84,812","439,665","342,117","160,199","453,936","1,480,408", 
 ,3月,"23,190","19,453","15,389","13,097","102,429","560,554","398,408","264,724","491,074","1,818,483", 
 ,4月,"19,780","18,318","16,508","11,325","102,127","499,809","362,003","309,312","400,297","1,813,605", 
 ,5月,"24,048","26,518","18,578","12,021","122,841","588,649","526,930","340,986","449,764","2,115,158", 
 ,6月,"23,003","26,785","20,050","13,370","126,907","597,249","544,145","395,534","474,419","2,228,471", 
 ,7月,"27,734","34,409","25,513","13,681","140,668","679,916","691,051","535,123","499,039","2,507,931", 
 ,8月,"30,531","41,524","25,748","14,195","150,060","719,302","825,801","521,066","542,803","2,596,129", 
 ,9月,"24,518","24,408","17,128","13,500","127,027","602,643","496,250","338,956","481,715","2,244,724", 
 ,10月,"23,445","20,530","13,254","13,241","114,820","563,128","423,066","241,615","464,627","2,040,069", 
 ,11月,"21,347","17,346","9,900","11,430","105,245","522,575","359,848","196,520","426,323","1,851,661", 
 ,12月,"19,871","15,775","8,746","11,992","101,556","492,499","328,133","162,248","448,143","1,759,073", 
2024年,1月,"23,499","23,507","11,448","12,697","116,247","583,756","471,483","207,311","479,411","2,034,259", 
 ,2月,"19,303","20,506","8,510","10,161","91,855","462,658","422,238","163,246","380,762","1,623,526", 
 ,3月,"21,000","16,883","13,363","11,981","104,909","506,976","370,939","239,257","449,026","1,920,741", 
 ,4月,"23,289","21,622","14,046","12,647","119,713","560,087","442,059","285,068","458,183","2,158,199", 
 ,5月,"22,924","22,624","17,493","13,951","125,895","591,436","481,709","339,478","523,470","2,239,393", 
 ,6月,"22,965","25,935","18,649","12,839","137,945","587,880","537,452","402,906","477,072","2,393,981", 
 ,7月,"28,437","39,315","26,808","12,515","154,863","713,738","809,984","606,710","507,531","2,711,452", 
"		","		","		","		","		","		","		","		","		","		","		","		",